source_screening_id,title,authors,year,source_title,document_type,volume,issue,pages,doi,url,publisher,issn,isbn,reference_count,is_referenced_by_count,abstract_available,lookup_source,lookup_score,metadata_status
OLD0001,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,"Eneyew, Dagimawi D.; Capretz, Miriam A.M.; Bitsuamlak, Girma T.",2024,Applied Energy,journal-article,375,,124080,10.1016/j.apenergy.2024.124080,https://doi.org/10.1016/j.apenergy.2024.124080,Elsevier BV,0306-2619,,84,30,No,Crossref,1.650,matched
OLD0003,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,"Pomianek, Mateusz; Piszczek, Marek; Stawarz, Paweł; Kucharczyk-Drab, Aleksandra",2025,Sensors,journal-article,25,20,6460,10.3390/s25206460,https://doi.org/10.3390/s25206460,MDPI AG,1424-8220,,49,1,No,Crossref,1.650,matched
OLD0005,Population Balance Model Validation and Predictionof CQAs for Continuous Milling Processes: toward QbDin Pharmaceutical Drug Product Manufacturing,"Barrasso, Dana; Oka, Sarang; Muliadi, Ariel; Litster, James D.; Wassgren, Carl; Ramachandran, Rohit",2013,Journal of Pharmaceutical Innovation,journal-article,8,3,147-162,10.1007/s12247-013-9155-0,https://doi.org/10.1007/s12247-013-9155-0,Springer Science and Business Media LLC,1872-5120; 1939-8042,,31,42,No,Crossref,0.864,matched
OLD0006,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,"Tarque, Nicola; Goicolea, José María; Cuevas, Rocío G.; Martínez, José Luis",2024,Journal of Physics: Conference Series,journal-article,2647,10,102009,10.1088/1742-6596/2647/10/102009,https://doi.org/10.1088/1742-6596/2647/10/102009,IOP Publishing,1742-6588; 1742-6596,,15,3,No,Crossref,1.650,matched
OLD0009,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,"Fu, Si; Chang, Chang-Ching; Kaewnuratchadasorn, Chawit; Wang, Jiaji; Wu, Chiun-Lin; Mo, Yi-Lung; Hsu, Thomas T.C.",2025,Engineering Structures,journal-article,323,,119234,10.1016/j.engstruct.2024.119234,https://doi.org/10.1016/j.engstruct.2024.119234,Elsevier BV,0141-0296,,40,13,No,Crossref,1.650,matched
OLD0010,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,"Ebrahimian, Parinaz; Bitaraf, Maryam",2025,Structures,journal-article,80,,109835,10.1016/j.istruc.2025.109835,https://doi.org/10.1016/j.istruc.2025.109835,Elsevier BV,2352-0124,,86,4,No,Crossref,1.650,matched
OLD0011,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,"Wang, Ruihang; Xia, Deneng; Cao, Zhiwei; Wen, Yonggang; Tan, Rui; Zhou, Xin",2023,ACM Transactions on Modeling and Computer Simulation,journal-article,33,4,1-24,10.1145/3604283,https://doi.org/10.1145/3604283,Association for Computing Machinery (ACM),1049-3301; 1558-1195,,43,3,No,Crossref,1.650,matched
OLD0012,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,"SUDAN SAPKOTA, MADHU; APEH, EDWARD; HADFIELD, MARK; ADEY, ROBERT; BAYNHAM, JOHN",2021,WIT Transactions on Engineering Sciences,proceedings-article,1,,3-14,10.2495/cmem210011,https://doi.org/10.2495/cmem210011,WIT Press,1743-3533; 1746-4471,,0,2,No,Crossref,1.650,matched
OLD0017,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,"Nyoni, Bukhosi R.; Moyo, Pilate; Nare, Kaboyamodimo; Ronné, Philip D.",2024,Lecture Notes in Civil Engineering,book-chapter,,,540-547,10.1007/978-3-031-61425-5_52,https://doi.org/10.1007/978-3-031-61425-5_52,Springer Nature Switzerland,2366-2557; 2366-2565,9783031614248; 9783031614255,5,0,No,Crossref,1.650,matched
OLD0018,Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,"Oyarhossein, Mohammad Amin; Sugiyama, Gabriel; Rodrigues, Fernanda; Rodrigues, Hugo",2025,Buildings,journal-article,15,21,3890,10.3390/buildings15213890,https://doi.org/10.3390/buildings15213890,MDPI AG,2075-5309,,26,0,No,Crossref,1.650,matched
OLD0021,Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,"Kim, Wongon; Kim, Sunuwe; Jeong, Jingyo; Kim, Hyunjae; Lee, Hyeonchan; Youn, Byeng D.",2022,Mechanical Systems and Signal Processing,journal-article,181,,109471,10.1016/j.ymssp.2022.109471,https://doi.org/10.1016/j.ymssp.2022.109471,Elsevier BV,0888-3270,,30,45,No,Crossref,1.650,matched
OLD0025,System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,"Nie, Zinan; Tian, Hongjun; Yin, Yijie; Zhou, Yuhan; Li, Wei; Xiong, Yang; Wang, Yichen; Zhang, Zitong; Yang, Yang; Xie, Dongxiao; Wang, Manlin; Huang, Shijie",2026,Journal of Marine Science and Engineering,journal-article,14,4,384,10.3390/jmse14040384,https://doi.org/10.3390/jmse14040384,MDPI AG,2077-1312,,30,1,No,Crossref,1.650,matched
OLD0026,"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data","He, Linyun; Rhodes-Leader, Luke; Song, Eunhye",2024,2024 Winter Simulation Conference (WSC),proceedings-article,,,347-358,10.1109/wsc63780.2024.10838742,https://doi.org/10.1109/wsc63780.2024.10838742,IEEE,,,20,2,No,Crossref,1.650,matched
OLD0028,Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,"Xia, Jingyan; Huang, Ruyi; Liao, Yixiao; Li, Jipu; Chen, Zhuyun; Li, Weihua",2023,Frontiers of Mechanical Engineering,journal-article,18,2,32,10.1007/s11465-023-0748-0,https://doi.org/10.1007/s11465-023-0748-0,Springer Science and Business Media LLC,2095-0233; 2095-0241,,46,35,No,Crossref,1.650,matched
OLD0029,Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,"Kessels, Bas M.; Fey, Rob H. B.; Abbasi, Mohammad H.; Wouw, Nathan van de",2022,Conference Proceedings of the Society for Experimental Mechanics Series,book-chapter,,,1-4,10.1007/978-3-031-04122-8_1,https://doi.org/10.1007/978-3-031-04122-8_1,Springer International Publishing,2191-5644; 2191-5652,9783031041211; 9783031041228,4,3,No,Crossref,1.650,matched
