classification_source,source_screening_id,screening_id,record_key,title,year,authors,first_author,source_title,document_type,language,doi,scopus_url,abstract,author_keywords,index_keywords,level_3_fulltext_decision,manual_level3_decision,manual_level3_note,object_class_decision,object_class_label,object_class_note
old_screened_converted,OLD0001,OLDOBJ0001,OLDOBJ0001,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0002,OLDOBJ0002,OLDOBJ0002,Mechanics-based digital twin model for structural construction using 3D scanning and FE model updating,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0003,OLDOBJ0003,OLDOBJ0003,From Mechanical Instability to Virtual Precision: Digital Twin Validation for Next-Generation MEMS-Based Eye-Tracking Systems,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0004,OLDOBJ0004,OLDOBJ0004,Fluidised bed membrane reactor for ultrapure hydrogen production via methane steam reforming: Experimental demonstration and model validation,2007,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0005,OLDOBJ0005,OLDOBJ0005,Population Balance Model Validation and Prediction of CQAs for Continuous Milling Processes: toward QbD in Pharmaceutical Drug Product Manufacturing,2013,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0006,OLDOBJ0006,OLDOBJ0006,Finite element model updating for the dynamic response of continuous deck railway viaducts leading to efficient digital twins,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0007,OLDOBJ0007,OLDOBJ0007,Enhancing structural damage evaluation of PC girder bridges through digital twinning Bayesian model updating,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0008,OLDOBJ0008,OLDOBJ0008,Digital twin - based model updating method for mechanical behaviors analysis of cable truss structure,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0009,OLDOBJ0009,OLDOBJ0009,Nonlinear finite element model updating and fourier neural operator for digital twin of reinforced concrete containment vessel under seismic excitations,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0010,OLDOBJ0010,OLDOBJ0010,Automated model updating of digital twins using double-deep Q network with dueling architecture for damage detection,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0011,OLDOBJ0011,OLDOBJ0011,Toward Data Center Digital Twins via Knowledge-based Model Calibration and Reduction,2023,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0012,OLDOBJ0012,OLDOBJ0012,DESIGN OF EXPERIMENTS PLATFORM FOR ONLINE SIMULATION MODEL VALIDATION AND PARAMETER UPDATING WITHIN DIGITAL TWINNING,2021,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0013,OLDOBJ0013,OLDOBJ0013,Development of a Baseline Digital Twin Model as a Prerequisite for the Digital Twin Definition of a PSC-I Bridge with Model Updating Considering Member Stiffness,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0014,OLDOBJ0014,OLDOBJ0014,Online geometry assurance in individualized production by feedback control and model calibration of digital twins,2023,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0015,OLDOBJ0015,OLDOBJ0015,Genetic Algorithm-Based Model Updating in a Real-Time Digital Twin for Steel Bridge Monitoring,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0016,OLDOBJ0016,OLDOBJ0016,Digital twin model calibration of HVAC system using adaptive domain Nelder-Mead method,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0017,OLDOBJ0017,OLDOBJ0017,Towards a Digital Twin of a New Concrete Tied-Arch Bridge: Material Characterisation and Model Validation,2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0018,OLDOBJ0018,OLDOBJ0018,Finite Element Model Updating of a Steel Cantilever Beam: Experimental Validation and Digital Twin Integration,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0019,OLDOBJ0019,OLDOBJ0019,Digital Twin Validation and Thermal Control Aspects in a Power Conversion Module,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0020,OLDOBJ0020,OLDOBJ0020,High-Fidelity Digital-Twin Validation and Creation of an Experimental Database for Electromechanical Actuators Inclusive of Failures,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0021,OLDOBJ0021,OLDOBJ0021,Digital twin approach for on-load tap changers using data-driven dynamic model updating and optimization-based operating condition estimation,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0022,OLDOBJ0022,OLDOBJ0022,Reusing Model Validation Methods for the Continuous Validation of Digital Twins of Cyber-Physical Systems,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0023,OLDOBJ0023,OLDOBJ0023,Real-time Validation of Digital Models for Manufacturing Systems: a Novel Signal-processing-based Approach,2019,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0024,OLDOBJ0024,OLDOBJ0024,Dynamic IoT–PID Control for Energy-Efficient Water Distribution: EPANET-Based Digital Twin Validation in Varied Geographical Terrains,2026,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0025,OLDOBJ0025,OLDOBJ0025,System-Level Optimization of AUV Swarm Control and Perception: An Energy-Aware Federated Meta-Transfer Learning Framework with Digital Twin Validation,2026,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0026,OLDOBJ0026,OLDOBJ0026,"Digital Twin Validation with Multi-Epoch, Multi-Variate Output Data",2024,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0027,OLDOBJ0027,OLDOBJ0027,A digital twin-based system for timely simulation of bridge structural performance with finite element model updating,2025,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,EXCLUDE,Exclude,Not part of the additionally selected transferable-domain set.
old_screened_converted,OLD0028,OLDOBJ0028,OLDOBJ0028,Digital twin-assisted gearbox dynamic model updating toward fault diagnosis,2023,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
old_screened_converted,OLD0029,OLDOBJ0029,OLDOBJ0029,Model Updating for Nonlinear Dynamic Digital Twins Using Data-Based Inverse Mapping Models,2022,,,,,,,,,,,Include,IN,Imported previous-screening inclusion.,NON_PRODUCTION_USED,Not production system but used in paper,Added as transferable digital-twin validation research from another domain.
